RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
"1","IU HEREH WORLD TOUR CONCERT: THE WINNING [서울 (앵콜) ]","대중음악","20240921","20240922","서울특별시","서울월드컵경기장","서울특별시 마포구 월드컵로 240(성산동)","37.5682884","126.8972730"
"2","DAY6 3RD WORLD TOUR, FOREVER YOUNG [인천]","대중음악","20240920","20240922","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"3","하데스타운 [서울]","뮤지컬","20240712","20241006","서울특별시","샤롯데씨어터","서울특별시 송파구 올림픽로 240 (잠실동)","37.5105162","127.1005630"
"4","ZEROBASEONE THE FIRST TOUR, TIMELESS WORLD IN SEOUL","대중음악","20240920","20240922","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"5","킹키부츠","뮤지컬","20240907","20241110","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"6","베르사유의 장미","뮤지컬","20240716","20241013","서울특별시","충무아트센터","서울특별시 중구 퇴계로 387 (흥인동)","37.5660139","127.0148131"
"7","성시경 with friends: 자, 오늘은","대중음악","20240907","20240908","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"8","LUCY 1st WORLD TOUR written by FLOWER [서울 (앵콜) ]","대중음악","20240823","20240825","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"9","Naniwa Danshi ASIA TOUR 2024 ＋ 2025, ＋ Alpha","대중음악","20250111","20250112","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"10","&TEAM CONCERT TOUR: SECOND TO NONE [서울]","대중음악","20240830","20240831","서울특별시","고려대학교 화정체육관","서울특별시 성북구 안암로 145 (안암동5가)","37.5929400","127.0249030"
"11","이적 콘서트, 이적의 노래들","대중음악","20241017","20241020","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"12","WONDERLIVET 원더리벳","대중음악","20241108","20241110","경기도","킨텍스","경기도 고양시 일산서구 킨텍스로 217-60 (대화동)","37.6693071","126.7456845"
"13","2NE1 CONCERT, WELCOME BACK IN SEOUL","대중음악","20241004","20241006","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"14","나훈아 라스트 콘서트: 고마웠습니다! [대전]","대중음악","20241012","20241012","대전광역시","대전컨벤션센터(DCC)","대전광역시 유성구 엑스포로 107 (도룡동)","36.3749012","127.3916831"
"15","이찬원 콘서트, 찬가 [대구]","대중음악","20241012","20241013","대구광역시","엑스코 컨벤션홀","대구 북구 엑스코로 10","35.9068440","128.6133130"
"16","시카고 [서울]","뮤지컬","20240607","20240929","서울특별시","디큐브아트센터","서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)","37.5084321","126.8887332"
"17","젠틀맨스 가이드: 사랑과 살인편","뮤지컬","20240706","20241020","서울특별시","광림아트센터","서울특별시 강남구 논현로163길 33 (신사동)","37.5238342","127.0251165"
"18","아레나 디 베로나 오리지널 프로덕션, 투란도트","서양음악(클래식)","20241012","20241019","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"19","SUPER JUNIOR, D & E WORLD TOUR: ECLIPSE","대중음악","20240928","20240929","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"20","광화문 연가","뮤지컬","20241023","20250105","서울특별시","디큐브아트센터","서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)","37.5084321","126.8887332"
"21","그랜드 민트 페스티벌","대중음악","20241026","20241103","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"22","NMIXX THE 2ND FAN CONCERT, NMIXX CHANGE UP: MIXX LAB","대중음악","20241004","20241006","서울특별시","장충체육관","서울특별시 중구 장충동 동호로 241","37.5581660","127.0067170"
"23","EORZEAN SYMPHONY, FINAL FANTASY XIV ORCHESTRA CONCERT [서울]","서양음악(클래식)","20241014","20241015","서울특별시","경희대학교","서울특별시 동대문구 경희대로 26","37.5939491","127.0548910"
"24","부산국제록페스티벌","대중음악","20241004","20241006","부산광역시","삼락생태공원","부산광역시 사상구 낙동대로 1231 (삼락동)","35.1700322","128.9765692"
"25","시카고 [전주]","뮤지컬","20241004","20241006","전라북도","한국소리문화의전당","전라북도 전주시 덕진구 소리로 31 (덕진동1가) 소리문화전당","35.8552450","127.1376670"
"26","NAM WOO HYUN CONCERT: 식목일4 TREE WORLD","대중음악","20240921","20240922","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"27","LEE SEUNG YOON CONCERT, 역성 [서울]","대중음악","20240928","20240929","서울특별시","장충체육관","서울특별시 중구 장충동 동호로 241","37.5581660","127.0067170"
"28","엔젤스 인 아메리카, 파트 원: 밀레니엄이 다가온다","연극","20240806","20240928","서울특별시","LG아트센터","서울특별시 강남구 논현로 508 (역삼동)","37.5022937","127.0375211"
"29","CNBLUE LIVE, VOYAGE into X","대중음악","20240921","20240922","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"30","온앤오프 (ONF) CONCERT: SPOTLIGHT: THE HIDDEN SHADOW","대중음악","20240921","20240922","서울특별시","장충체육관","서울특별시 중구 장충동 동호로 241","37.5581660","127.0067170"
"31","Eve Asia Tour: Additional LIVE, Culture [서울]","대중음악","20241005","20241006","서울특별시","고려대학교 화정체육관","서울특별시 성북구 안암로 145 (안암동5가)","37.5929400","127.0249030"
"32","Theatre 이문세 [고양]","대중음악","20241207","20241221","경기도","고양아람누리","경기도 고양시 일산동구 중앙로 1286 (마두동) 고양아람누리","37.6614074","126.7743379"
"33","시카고 [고양]","뮤지컬","20241018","20241020","경기도","고양아람누리","경기도 고양시 일산동구 중앙로 1286 (마두동) 고양아람누리","37.6614074","126.7743379"
"34","시카고 [창원]","뮤지컬","20241025","20241027","경상남도","성산아트홀","경상남도 창원시 의창구 중앙대로 181 (용호동)","35.2293640","128.6831343"
"35","이찬원 콘서트, 찬가 [청주]","대중음악","20241102","20241103","충청북도","청주대학교","충청북도 청주시 청원구 대성로 298 (내덕동)","36.6508565","127.4951991"
"36","CRAVITY FAN CON, BEYOND YOUR MEMORIES","대중음악","20240928","20240929","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"37","오피셜히게단디즘 내한공연 [일산]","대중음악","20241130","20241201","경기도","킨텍스","경기도 고양시 일산서구 킨텍스로 217-60 (대화동)","37.6693071","126.7456845"
"38","Xdinary Heroes Concert, Closed ♭eta: v6.4","대중음악","20240906","20240908","서울특별시","예스24 라이브홀","서울 광진구 구천면로 20","37.5457268","127.1079679"
"39","시데레우스","뮤지컬","20240724","20241013","서울특별시","플러스씨어터(구. 컬처스페이스 엔유 구. 쁘티첼 씨어터)","서울특별시 종로구 대학로12길 73 (동숭동)","37.5807747","127.0039649"
"40","시카고 [광주]","뮤지컬","20241011","20241012","광주광역시","예술의 전당 [광주] (구. 광주문화예술회관)","광주광역시 북구 북문대로 60 (운암동)","35.1777124","126.8817023"
"41","INSPIRE CONCERT SERIES #2: WESTLIFE","대중음악","20241123","20241123","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"42","프랑켄슈타인","뮤지컬","20240605","20240825","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"43","사의찬미 [대학로]","뮤지컬","20240702","20240922","서울특별시","링크아트센터","서울특별시 종로구 대학로14길 29","37.5846900","127.0022947"
"44","살리에르","뮤지컬","20240711","20240921","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"45","RIIZE FAN-CON: RIIZING DAY FINALE [서울]","대중음악","20240913","20240915","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"46","홍련","뮤지컬","20240730","20241020","서울특별시","대학로 자유극장 (자유문화발전소)","서울특별시 종로구 대학로12길 31 (동숭동)","37.5827026","127.0036052"
"47","15주년 기념공연, 영웅","뮤지컬","20240529","20240811","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"48","Theatre 이문세 [수원]","대중음악","20241122","20241123","경기도","경기아트센터(구. 경기도문화의전당)","경기도 수원시 팔달구 효원로307번길 20 (인계동) 경기도문화의전당","37.2618899","127.0374319"
"49","LoveLive! Series AsiaTour [서울]","대중음악","20241214","20241215","서울특별시","고려대학교 화정체육관","서울특별시 성북구 안암로 145 (안암동5가)","37.5929400","127.0249030"
"50","미오 프라텔로 [대학로]","뮤지컬","20240521","20241027","서울특별시","링크아트센터","서울특별시 종로구 대학로14길 29","37.5846900","127.0022947"
